"name","group","element","units","context","S60611","S60612","S60613","S60614","S60615","S60616","S60617","S60618","S60619","S60620","S60621","S60622","S60623","S60624","S60625","S60626","S60627","S60628","S60629","S60630","S60631","S60632","S60633","S60634"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,15.5,25.5,35.5,55.5,75.5,95.5,115.5,135.5,155.5,165.5,175.5,215.5,235.5,255.5,265.5,275.5,285.5,305.5,335.5,375.5,415.5,455.5,475.5,495.5
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,60611,60612,60613,60614,60615,60616,60617,60618,60619,60620,60621,60622,60623,60624,60625,60626,60627,60628,60629,60630,60631,60632,60633,60634
COHMAP chron 4,Radiocarbon years BP,,,,--/75/--,--/1142/--,--/2039/--,--/3240/--,--/5733/--,--/7116/--,--/7388/--,--/7661/--,--/7933/--,--/8070/--,--/8361/--,--/9530/--,--/10113/--,--/10697/--,--/10990/--,--/11126/--,--/11263/--,--/11537/--,--/11947/--,--/12495/--,--/13042/--,--/13589/--,--/13863/--,--/14136/--
PalEON-STEPPS,Calibrated radiocarbon years BP,,,,1380/765/166,1645/1361/1096,2609/2041/1567,3838/3493/3208,7811/6890/5852,8517/8124/7814,8917/8429/8012,9226/8746/8260,9465/9051/8612,9569/9202/8852,10066/9455/9021,12106/10927/9796,12688/11722/10404,13059/12503/11163,13218/12888/11558,13828/13222/11789,15091/13482/11977,17722/14029/12198,21660/14875/12471,26911/16012/12792,32127/17183/13007,37354/18344/13056,39968/18920/13073,42583/19493/13083
Abies,Vascular plants,pollen,NISP,,,,,,2,1,,1,1,1,3,4,12,14,19,31,18,12,15,20,10,7,6,1
Acer rubrum,Vascular plants,pollen,NISP,,,1,,,,,,,,,1,2,,,,,,,,,,,,
Acer saccharum-type,Vascular plants,pollen,NISP,,3,,9,1,11,9,3,3,5,3,7,8,4,2,2,3,1,2,2,1,1,,,
Acer spicatum,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,
Acer undiff.,Vascular plants,pollen,NISP,,,,,,,1,,2,,,,,,,,,,,,,,,,
Alnus incana-type,Vascular plants,pollen,NISP,,1,1,7,4,,2,,2,1,,2,2,1,3,6,2,2,,1,1,2,,,
Alnus viridis-type,Vascular plants,pollen,NISP,,,,1,,,,,,,,,,,,,,,3,,,,,3,
Amaranthaceae undiff.,Vascular plants,pollen,NISP,,9,5,8,4,6,6,9,6,8,12,8,6,5,,,5,1,3,3,2,1,1,2,
Ambrosia-type,Vascular plants,pollen,NISP,,36,9,4,6,8,10,15,10,10,7,6,9,4,4,,7,3,2,6,3,3,6,6,
Angiospermae undiff. (herbs),Vascular plants,pollen,NISP,,,1,2,,3,,,1,,2,1,1,,,1,,4,,2,,,,,1
Araceae subf. Lemnoideae,Vascular plants,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,
Artemisia,Vascular plants,pollen,NISP,,,3,6,6,4,5,5,6,4,7,8,1,3,1,5,11,6,8,6,17,12,5,13,4
Asteraceae subf. Asteroideae undiff.,Vascular plants,pollen,NISP,,4,4,3,5,3,2,2,3,3,2,8,3,3,,1,4,4,1,2,4,,9,6,2
Asteraceae subf. Cichorioideae,Vascular plants,pollen,NISP,,,1,,1,,,,,,,,,,,,,,,,,,,,
Betula,Vascular plants,pollen,NISP,,4,9,20,10,3,2,3,6,3,2,6,6,20,45,35,5,1,4,6,4,1,4,1,
Cannabaceae sensu stricto,Vascular plants,pollen,NISP,,,,,,,,,,,,,,,,,13,5,9,,,,,7,
Carya,Vascular plants,pollen,NISP,,4,7,11,3,4,7,22,5,10,7,9,9,5,4,1,3,2,,2,1,1,1,,
Celtis,Vascular plants,pollen,NISP,,1,,,,,,,3,,,,,,,1,,,2,,,,,,
Corylus,Vascular plants,pollen,NISP,,1,,1,,1,2,,,,,1,2,1,3,,2,6,6,7,14,4,1,2,
Cupressaceae,Vascular plants,pollen,NISP,,2,,2,,,,,2,1,1,3,1,2,,4,5,2,2,,1,,,3,
Cyclachaena xanthiifolia-type,Vascular plants,pollen,NISP,,2,1,4,2,7,3,8,4,10,5,8,4,3,,,7,3,,,1,,2,4,
Cyperaceae,Vascular plants,pollen,NISP,,2,4,4,1,6,2,2,7,3,5,10,4,4,,6,7,7,11,8,5,7,7,15,4
Ericaceae,Vascular plants,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,1
Fagus,Vascular plants,pollen,NISP,,1,,3,6,2,1,1,1,,1,,1,1,,1,,,,,,,,,
Fraxinus nigra-type,Vascular plants,pollen,NISP,,2,,2,,2,1,,1,3,,4,5,16,25,23,62,67,45,26,29,10,28,56,
Fraxinus pennsylvanica-type,Vascular plants,pollen,NISP,,1,1,2,2,,,1,,,,4,2,4,1,3,6,2,,2,,,5,2,
Fraxinus undiff.,Vascular plants,pollen,NISP,,,,,3,1,,,,,,,,,,,,,,,,,,,
Indeterminable,Unidentified palynomorphs,pollen/spore,NISP,,5,,3,3,1,1,2,2,6,5,2,2,7,7,3,14,6,9,4,5,3,4,12,2
Iva annua-type,Vascular plants,pollen,NISP,,,,,,1,,,1,3,7,1,1,,,,2,3,,,,,,1,
Juglans cinerea,Vascular plants,pollen,NISP,,3,,,,,,,,,,1,,1,,,,,,,,,,1,
Juglans nigra,Vascular plants,pollen,NISP,,2,,1,1,2,,,,4,1,,,,1,,,,,,,,,,
Juglans undiff.,Vascular plants,pollen,NISP,,,,,,,,,2,,,,,,,,,,,,,,,,
Larix,Vascular plants,pollen,NISP,,,,,,,,,,1,,,2,1,3,3,2,2,3,4,6,,4,4,
Liquidambar,Vascular plants,pollen,NISP,,,,,1,,,,,1,,,,,,,,,,3,3,,,,
Lycopodium-type,Vascular plants,spore,NISP,,,,,,,,,,,,,,1,1,,,2,,,,,,,
Morus,Vascular plants,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,1,,,,
Myrica,Vascular plants,pollen,NISP,,,,,,,1,,,,,,,,,,,,1,,,,,,
Nuphar,Vascular plants,pollen,NISP,,,,,,,,,,,,,,1,,1,,,,,,1,,,
Osmunda,Vascular plants,spore,NISP,,,1,,,,,,,,1,,,,,,,,,,,,,,
Ostrya/Carpinus,Vascular plants,pollen,NISP,,1,3,7,3,8,10,14,8,5,3,15,15,7,1,9,45,25,23,13,24,9,14,11,
Pediastrum,Algae,colony,NISP,,7,13,15,7,6,10,8,10,3,10,2,7,9,7,10,12,8,8,,,7,3,5,
Picea,Vascular plants,pollen,NISP,,,,,1,2,4,2,4,3,5,9,9,18,26,30,173,184,98,239,121,81,275,138,8
Pinus subg. Pinus,Vascular plants,pollen,NISP,,4,5,4,8,5,2,4,2,11,9,13,13,28,40,31,,,1,,1,,2,1,
Pinus subg. Strobus,Vascular plants,pollen,NISP,,4,9,8,5,6,6,7,7,8,2,22,8,11,,1,,,1,1,,,,,
Pinus undiff.,Vascular plants,pollen,NISP,,9,24,27,24,34,34,29,26,40,48,95,52,62,87,59,2,4,2,2,1,2,3,2,1
Platanus,Vascular plants,pollen,NISP,,3,1,3,8,1,4,1,3,2,,3,2,2,1,,,1,,,,,,,
Poaceae,Vascular plants,pollen,NISP,,9,7,9,14,19,20,15,21,19,13,26,18,13,6,4,12,3,1,3,8,3,7,12,3
Polygonaceae undiff.,Vascular plants,pollen,NISP,,,,1,,,,1,,,,,,,,,,,,,,,,,
Populus,Vascular plants,pollen,NISP,,4,2,1,3,,,1,,1,1,,,,,,7,,4,2,1,1,2,,
Pteridium-type,Vascular plants,spore,NISP,,,2,2,2,2,,2,3,2,3,,,1,3,5,1,,,6,,,,,
Quercus,Vascular plants,pollen,NISP,,87,149,146,147,114,83,140,101,107,71,69,112,48,32,31,19,29,24,18,19,5,26,26,2
Rhamnaceae/Vitaceae,Vascular plants,pollen,NISP,,1,,,3,1,1,,,,,,,,,1,,,,,,,,,
Rosaceae,Vascular plants,pollen,NISP,,1,,,,,1,,,,,,,,,,1,,,2,2,,,1,1
Rumex,Vascular plants,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,
Salix,Vascular plants,pollen,NISP,,2,1,,2,,,1,,1,1,2,1,1,,1,3,3,10,2,5,,3,1,
Sarcobatus vermiculatus,Vascular plants,pollen,NISP,,,,,,1,1,,,,,,,,,,,,,,,,,,
Spermatophyta undiff. (aquatics),Vascular plants,pollen,NISP,,,,,,,1,,,,,,,,,,,,,2,2,,,,
Sphagnum,Bryophytes,spore,NISP,,,,,,,,,,,,1,,,,1,4,,1,3,5,,3,1,
Thalictrum,Vascular plants,pollen,NISP,,,,,,1,,,,,,,1,,,,4,1,4,1,,1,2,,
Tilia,Vascular plants,pollen,NISP,,,2,1,2,5,3,1,7,2,5,1,4,4,,,,,,,,,,,
Tsuga,Vascular plants,pollen,NISP,,,4,2,1,1,,,,,,,,,,,,,,,,,,,
Typha/Sparganium,Vascular plants,pollen,NISP,,1,,1,,,,,,,1,1,1,,1,,1,2,2,7,10,,,,
Ulmus,Vascular plants,pollen,NISP,,11,2,8,12,18,36,26,31,27,26,27,44,47,74,48,15,10,21,15,9,6,15,8,
Unknown,Unidentified palynomorphs,pollen/spore,NISP,,2,,,,,,,,,,,,,,,,,,,,,,,
Unknown (monolete),Unidentified palynomorphs,spore,NISP,,1,1,2,2,,3,,1,1,4,5,11,4,3,2,21,4,7,2,9,1,7,8,
Unknown (trilete),Unidentified palynomorphs,spore,NISP,,,3,2,3,2,,3,3,2,4,,,1,3,5,4,1,,7,1,,,,
Xanthium,Vascular plants,pollen,NISP,,1,,1,,,,,1,,1,,,1,,,,,,,,,1,1,