,,,,,,,Wisconsin State Climatology Office,,,,,,,,,,,
,,,,Average Temperature  [degrees Fahrenheit]: Northwest Wisconsin,,,,,,,,,,,,,,
,Data Source: National Centers for Environmental Information,,,,,,,,,Jan 1895 -Jun 2018,,,,,SPRING ,SUMMER,FALL ,WINTER
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,,MAM,JJA,SON,DJF
1895,3.8,7.0,23.0,45.1,54.8,63.6,65.5,65.7,59.2,38.8,27.5,16.7,39.2,,41.0,64.9,41.8,13.7
1896,10.3,14.0,19.8,42.5,59.0,64.9,67.4,65.7,53.4,40.1,19.5,16.7,39.4,,40.4,66.0,37.7,12.7
1897,6.5,14.8,20.9,41.2,50.9,60.5,70.6,62.8,62.3,47.4,23.9,9.6,39.3,,37.7,64.6,44.5,14.3
1898,16.7,16.5,30.8,41.0,53.4,63.8,69.6,65.2,60.1,42.9,27.3,9.0,41.4,,41.7,66.2,43.4,5.9
1899,5.7,2.9,13.0,43.6,53.2,63.4,68.6,67.2,53.9,48.1,37.3,17.0,39.5,,36.6,66.4,46.4,13.0
1900,17.2,4.7,20.9,47.2,56.3,65.2,66.8,72.2,57.7,53.8,25.0,17.4,42.0,,41.5,68.1,45.5,11.7
1901,10.0,7.6,24.0,44.1,54.3,64.5,71.1,66.8,55.9,46.5,26.4,11.4,40.2,,40.8,67.5,42.9,11.9
1902,12.0,12.4,32.8,39.6,56.1,58.9,68.7,62.8,53.9,44.1,32.5,12.6,40.5,,42.8,63.5,43.5,10.8
1903,9.3,10.4,30.0,41.8,54.9,60.3,66.2,61.3,54.8,45.9,25.6,6.0,38.9,,42.2,62.6,42.1,2.9
1904,2.1,0.6,22.7,36.2,53.1,62.2,63.8,62.6,54.6,44.0,33.6,13.6,37.4,,37.3,62.9,44.1,7.8
1905,2.5,7.2,29.7,39.8,50.5,60.8,66.0,66.2,59.5,41.8,30.7,18.0,39.4,,40.0,64.3,44.0,14.5
1906,14.9,10.6,17.2,45.8,51.8,63.0,66.1,66.0,61.0,43.4,28.8,15.6,40.4,,38.3,65.0,44.4,11.0
1907,4.5,12.9,26.6,32.9,44.5,62.6,66.0,63.2,55.3,42.4,30.2,18.7,38.3,,34.7,63.9,42.6,16.5
1908,13.8,17.1,25.6,43.4,53.5,61.8,68.0,63.5,62.2,46.7,32.2,16.0,42.0,,40.8,64.4,47.0,14.0
1909,11.4,14.5,24.9,34.4,50.5,63.8,66.5,68.6,56.1,43.0,34.2,11.2,39.9,,36.6,66.3,44.4,9.8
1910,10.2,8.1,39.3,46.5,49.3,66.2,68.8,64.4,55.8,48.2,24.5,12.3,41.1,,45.0,66.5,42.8,12.3
1911,6.8,17.7,30.5,40.9,57.9,67.5,66.4,63.0,54.7,41.7,20.7,20.3,40.7,,43.1,65.6,39.0,6.4
1912,-8.9,7.7,18.7,43.3,53.8,60.5,66.9,60.7,56.4,46.1,31.5,18.6,37.9,,38.6,62.7,44.7,11.2
1913,8.2,6.8,19.1,44.4,51.0,65.2,65.8,66.2,55.9,42.5,35.4,25.3,40.5,,38.2,65.7,44.6,14.9
1914,16.6,2.9,24.1,39.2,55.5,61.3,69.3,63.4,56.3,50.0,30.1,9.2,39.8,,39.6,64.7,45.5,13.0
1915,8.0,21.8,25.4,50.5,48.8,57.6,62.7,60.1,56.1,45.5,30.2,16.9,40.3,,41.6,60.1,43.9,10.1
1916,6.3,7.1,19.8,40.0,51.0,57.7,72.8,66.7,53.8,43.7,28.2,8.2,37.9,,36.9,65.7,41.9,4.1
1917,2.6,1.6,23.2,37.1,48.4,58.1,67.8,61.2,54.4,34.7,34.0,4.9,35.7,,36.2,62.4,41.0,5.0
1918,-0.7,10.9,32.0,38.6,55.1,62.2,65.6,65.7,49.9,45.3,33.8,23.3,40.1,,41.9,64.5,43.0,17.9
1919,16.9,13.4,25.7,41.1,53.1,66.3,68.7,63.7,57.4,40.7,23.9,4.9,39.7,,40.0,66.2,40.7,5.7
1920,1.2,11.0,26.1,34.0,53.2,63.0,64.5,63.2,59.4,50.9,28.0,19.1,39.5,,37.8,63.6,46.1,17.9
1921,16.2,18.5,28.4,45.9,56.0,68.0,73.4,65.0,59.3,46.7,24.1,15.5,43.1,,43.4,68.8,43.4,10.0
1922,6.8,7.8,26.4,40.5,58.8,64.0,64.9,66.8,58.9,47.3,35.8,12.6,40.9,,41.9,65.2,47.3,9.6
1923,11.7,4.5,16.0,38.5,53.8,66.6,69.5,62.1,57.6,43.7,34.2,24.7,40.2,,36.1,66.1,45.2,14.3
1924,0.8,17.4,24.9,39.0,46.4,59.6,64.8,62.5,52.6,51.1,28.6,4.0,37.6,,36.8,62.3,44.1,9.6
1925,9.1,15.6,28.5,46.6,50.1,63.0,66.4,67.4,59.0,34.8,28.0,11.3,40.0,,41.7,65.6,40.6,12.1
1926,9.5,15.6,19.0,38.3,55.9,58.9,66.4,64.2,52.8,42.5,23.5,10.2,38.1,,37.7,63.2,39.6,11.0
1927,6.0,16.8,31.1,41.4,49.8,59.7,64.1,60.2,58.7,46.1,26.2,4.3,38.7,,40.8,61.3,43.7,9.6
1928,10.5,14.1,24.5,34.8,54.7,57.7,66.7,64.8,52.7,45.5,32.6,19.3,39.8,,38.0,63.1,43.6,6.6
1929,-3.7,4.3,28.0,42.5,49.8,60.7,68.1,64.6,54.8,44.7,25.3,13.6,37.7,,40.1,64.5,41.6,11.8
1930,1.7,20.0,26.2,43.4,53.8,64.1,68.1,67.9,56.5,43.4,32.6,17.6,41.3,,41.1,66.7,44.2,20.7
1931,19.1,25.4,27.2,43.8,52.2,66.6,70.3,64.0,62.0,49.8,36.0,25.3,45.1,,41.1,67.0,49.3,18.5
1932,16.5,13.6,17.1,40.0,53.7,65.5,68.4,66.7,54.4,41.8,25.6,11.5,39.6,,36.9,66.9,40.6,11.7
1933,16.8,6.9,24.6,39.2,54.3,70.1,70.5,64.8,61.0,41.1,25.5,10.2,40.4,,39.4,68.5,42.5,12.1
1934,16.3,9.7,22.0,39.9,60.4,65.4,68.8,63.3,53.7,47.2,33.5,9.6,40.8,,40.8,65.8,44.8,10.7
1935,4.2,18.4,27.2,38.7,49.5,58.9,72.7,66.0,55.2,44.0,24.6,14.3,39.5,,38.5,65.9,41.3,4.5
1936,2.5,-3.4,25.3,34.5,57.2,60.4,73.4,67.7,60.2,40.6,25.6,17.4,38.5,,39.0,67.2,42.1,10.2
1937,2.5,10.6,21.6,39.0,54.8,62.1,69.3,70.9,56.8,41.0,27.5,12.0,39.0,,38.5,67.4,41.8,12.4
1938,8.1,17.1,32.3,41.8,52.2,62.2,67.0,68.2,56.8,49.4,28.3,14.6,41.5,,42.1,65.8,44.8,11.7
1939,14.7,5.7,23.2,37.2,57.2,63.4,68.8,65.5,58.1,44.0,31.8,24.3,41.2,,39.2,65.9,44.6,14.7
1940,3.9,16.0,18.8,38.3,50.4,61.6,68.6,64.4,59.6,48.2,25.9,17.2,39.4,,35.8,64.9,44.6,14.3
1941,12.5,13.1,22.0,47.3,58.5,63.7,69.4,65.5,58.8,46.3,32.1,22.6,42.7,,42.6,66.2,45.7,17.6
1942,15.4,14.8,30.5,47.5,51.5,62.1,66.0,65.1,53.6,45.4,28.7,11.0,41.0,,43.2,64.4,42.6,9.9
1943,5.1,13.7,17.6,39.2,51.8,64.8,70.2,66.7,52.8,45.4,24.7,17.4,39.1,,36.2,67.2,41.0,18.2
1944,21.2,15.9,22.6,38.0,56.9,64.4,66.6,66.9,56.8,45.6,35.2,14.0,42.0,,39.2,66.0,45.9,11.6
1945,7.6,13.2,34.4,39.3,47.8,57.2,64.9,64.8,55.1,42.7,28.1,10.2,38.8,,40.5,62.3,42.0,11.0
1946,11.6,11.2,36.8,44.3,51.0,61.5,67.8,63.5,55.4,47.1,29.3,15.3,41.2,,44.0,64.3,43.9,13.6
1947,14.5,11.0,23.6,37.4,48.2,59.2,67.3,71.2,57.0,54.0,23.4,14.6,40.1,,36.4,65.9,44.8,9.5
1948,3.6,10.4,22.6,44.8,52.5,62.0,68.5,66.9,60.6,45.7,32.0,14.8,40.4,,40.0,65.8,46.1,12.9
1949,12.9,11.1,24.2,42.5,55.6,66.9,69.7,67.7,53.6,47.9,31.8,15.4,41.6,,40.8,68.1,44.4,10.3
1950,3.8,11.8,18.8,32.3,50.6,62.6,64.6,60.7,55.9,48.3,24.3,8.2,36.8,,33.9,62.6,42.8,9.1
1951,6.2,13.0,19.0,38.7,56.7,59.2,66.3,61.6,52.4,44.5,21.4,12.8,37.7,,38.1,62.4,39.4,13.8
1952,9.5,19.0,22.5,44.8,52.8,64.4,68.1,63.4,57.3,39.5,31.0,20.5,41.1,,40.0,65.3,42.6,15.4
1953,13.1,12.5,26.4,37.2,53.2,64.3,66.4,67.0,56.6,51.5,34.2,17.3,41.6,,38.9,65.9,47.4,16.4
1954,6.5,25.4,23.1,41.4,47.4,65.1,67.4,63.8,54.9,43.2,32.9,19.1,40.9,,37.3,65.4,43.7,12.9
1955,9.0,10.6,20.6,48.2,57.1,63.0,72.3,69.6,56.8,46.4,22.9,8.6,40.4,,42.0,68.3,42.0,10.1
1956,11.0,10.6,21.9,37.6,52.2,65.8,63.3,64.0,53.2,51.2,29.4,17.2,39.8,,37.2,64.4,44.6,11.4
1957,3.2,13.7,24.4,42.2,52.2,62.0,69.8,65.0,54.2,43.9,29.3,18.2,39.8,,39.6,65.6,42.5,14.8
1958,16.0,10.2,27.8,42.9,53.2,57.5,64.7,64.4,57.6,47.3,31.1,8.4,40.1,,41.3,62.2,45.3,7.5
1959,3.4,10.7,27.3,41.5,56.0,64.6,67.6,68.9,57.8,41.4,20.3,24.0,40.3,,41.6,67.0,39.8,16.8
1960,11.9,14.5,17.1,42.2,52.4,60.2,66.7,67.1,57.9,45.9,32.1,13.3,40.1,,37.2,64.7,45.3,14.6
1961,9.4,21.2,30.8,37.4,50.9,63.3,66.8,68.0,56.5,46.9,29.6,13.8,41.2,,39.7,66.0,44.3,9.8
1962,5.2,10.3,26.5,39.2,56.6,61.3,64.1,64.5,53.9,47.5,32.3,15.2,39.7,,40.8,63.3,44.6,7.9
1963,0.6,7.8,28.9,44.0,51.8,64.5,69.2,63.9,58.0,54.8,34.9,8.0,40.5,,41.6,65.9,49.2,14.0
1964,16.6,17.3,23.1,42.3,57.6,62.8,70.2,62.9,54.8,44.6,32.0,9.3,41.1,,41.0,65.3,43.8,7.4
1965,5.1,7.8,17.2,38.9,55.9,60.9,64.5,63.3,50.0,46.2,29.0,22.0,38.4,,37.3,62.9,41.7,11.6
1966,-0.2,13.0,30.1,37.8,48.7,64.0,70.4,62.8,55.5,44.0,27.2,14.2,39.0,,38.9,65.7,42.2,10.4
1967,11.5,5.6,26.1,40.8,47.6,62.1,65.4,62.0,55.7,43.2,26.7,17.1,38.7,,38.2,63.2,41.9,12.3
1968,9.4,10.5,33.9,43.6,50.1,61.6,66.5,64.9,56.6,47.7,30.1,13.8,40.7,,42.5,64.3,44.8,12.2
1969,7.5,15.3,21.8,43.4,54.6,56.2,66.2,68.2,56.9,41.8,29.2,17.6,39.9,,39.9,63.5,42.6,10.5
1970,2.9,11.1,21.5,41.2,52.3,65.0,69.9,66.3,56.4,46.3,28.3,14.7,39.7,,38.3,67.1,43.7,10.0
1971,2.4,12.8,22.8,41.3,50.0,65.8,64.0,62.8,57.6,50.4,30.1,15.1,39.6,,38.0,64.2,46.0,8.2
1972,2.1,7.3,21.2,37.0,56.7,61.2,65.0,64.5,54.0,41.0,29.1,9.4,37.4,,38.3,63.6,41.4,12.8
1973,12.6,16.4,35.7,40.7,50.1,63.9,67.5,67.7,55.6,50.2,30.5,13.8,42.1,,42.2,66.4,45.4,11.8
1974,8.6,13.0,25.3,41.9,50.2,60.2,70.3,62.9,51.0,45.2,31.8,21.0,40.1,,39.1,64.5,42.7,15.7
1975,11.5,14.5,20.5,35.4,56.4,62.6,69.8,65.2,52.8,47.5,33.3,14.2,40.3,,37.4,65.9,44.5,14.2
1976,6.1,22.2,25.8,45.2,52.6,65.7,69.1,66.4,55.5,39.3,22.5,4.5,39.6,,41.2,67.1,39.1,6.3
1977,-2.4,16.8,33.8,47.6,62.0,62.7,69.3,60.9,55.8,44.5,29.2,13.1,41.1,,47.8,64.3,43.2,8.6
1978,4.5,8.1,25.2,40.3,56.2,62.3,66.0,65.8,60.1,45.2,27.3,9.6,39.2,,40.6,64.7,44.2,4.7
1979,-1.4,5.8,25.0,37.9,49.0,61.1,67.2,63.5,57.8,42.5,28.9,20.9,38.2,,37.3,63.9,43.1,13.9
1980,9.3,11.5,22.1,44.0,57.2,62.2,69.0,65.9,54.8,40.8,31.2,14.0,40.2,,41.1,65.7,42.3,15.4
1981,13.2,18.9,31.2,43.5,52.1,62.4,67.4,66.0,55.1,42.2,34.9,15.4,41.9,,42.3,65.3,44.1,8.5
1982,-1.3,11.5,24.5,38.1,57.4,57.7,68.7,63.7,55.4,46.4,27.3,21.5,39.2,,40.0,63.4,43.0,19.9
1983,14.8,23.4,30.0,37.8,49.1,62.4,71.1,69.9,57.8,45.1,31.2,2.3,41.2,,39.0,67.8,44.7,11.7
1984,8.1,24.8,21.7,43.6,51.1,64.2,66.9,68.5,53.3,48.1,29.6,15.5,41.3,,38.8,66.5,43.7,11.6
1985,7.8,11.6,32.3,46.0,57.1,58.9,66.2,62.0,55.1,43.8,22.3,4.1,38.9,,45.1,62.4,40.4,9.6
1986,12.7,12.1,30.0,46.1,55.6,62.8,68.6,62.3,55.7,44.7,25.7,19.5,41.3,,43.9,64.6,42.0,20.8
1987,16.9,26.0,34.2,48.2,57.2,66.7,70.8,64.8,58.1,39.6,33.6,21.7,44.8,,46.5,67.4,43.8,12.1
1988,6.3,8.4,27.9,42.4,59.0,67.0,72.2,68.8,57.2,39.7,30.6,14.9,41.2,,43.1,69.3,42.5,12.1
