"","MAT","MAT.wm"
"171058",12.13,12.1490518256522
"171059",17.75,17.9053511012581
"171060",14.185,14.1942811335568
"171061",17.8366666666667,17.5683215358456
"171062",12.735,13.1063821450247
"171063",19.505,19.6427426443288
"171064",18.0166666666667,18.0133793499582
"171065",18.46,18.3191404567393
"171066",14.1933333333333,14.3940516865446
"171067",17.325,17.2215816402341
"171068",16.05,16.4515065108997
"171069",15.105,15.1339708941682
"171070",14.44,14.9346510448751
"171071",15.25,15.4702980007982
"171072",12.3333333333333,12.4427405902172
"171073",10.495,10.9331660329128
"171074",16.6633333333333,16.7694931529272
"171075",15.4483333333333,15.5902466760121
"171076",18.0166666666667,18.1092699247864
"171077",14.9483333333333,15.2614149771865
"171078",16.165,16.0903151989311
"171079",18.5466666666667,18.3671079427282
"171080",14.465,14.5965329285679
"171081",13.385,13.7066276086243
"171082",13.8183333333333,14.0751457972116
"171083",16.6233333333333,16.5892492720651
"171084",18.6783333333333,18.3465176018215
"171085",19.2033333333333,19.2138950720088
"171086",17.99,17.8838005446795
"171087",12.81,13.0125381316121
"171088",19.8383333333333,19.9015092816737
"171089",19.5816666666667,19.5574349530663
"171090",18.7066666666667,18.7296014402482
"171091",18.9133333333333,18.9732234810373
"171092",19.6116666666667,19.7382979293187
"171093",19.415,19.4268073112882
"171094",17.7966666666667,17.8046571445638
"171095",18.5366666666667,18.6804631599775
"171096",18.7133333333333,18.6809384008193
"171097",19.2883333333333,19.3444214662112
"171098",18.715,18.7184336747152
"171099",19.6116666666667,19.6641677966559
"171100",19.415,19.4856223197057
"171101",18.55,18.8128752258258
"171102",18.7133333333333,18.6951101961176
"171103",17.0933333333333,17.5543507543949
"171104",18.3433333333333,18.7160572682429
"171105",18.3433333333333,18.6783633349003
"171106",16.6133333333333,16.8849356080206
"171107",16.3083333333333,16.6152273053744
"171108",16.0483333333333,16.1855382712036
"171109",16.4233333333333,16.7505263271971
"171110",16.7716666666667,16.9562222789902
"171111",13.4066666666666,13.8375715130514
"171112",19.1333333333333,19.3362566496416
"171113",18.7133333333333,18.7302714983702
"171114",17.86,18.0228378956801
"171115",18.7016666666667,18.6723314173027
"171116",14.085,14.1237008868599
"171117",8.70833333333334,8.59803775414947
"171118",7.54,7.53139527616776
"171119",9.50833333333333,9.52304506588326
"171120",10.2816666666667,10.4180184263868
"171121",13.5466666666667,13.4763404432212
"171122",13.255,13.3993513725435
"171123",12.7183333333333,12.8460883741997
"171124",13.2083333333333,13.0690102319907
"171125",12.4866666666667,12.5655060899851
"171126",16.4983333333333,16.500002979376
"171127",16.3166666666667,16.3421880549275
"171128",16.195,16.1685709957932
"171129",16.0066666666667,15.9935944089246
"171130",15.6083333333333,15.5877633595627
"171131",15.6516666666667,15.6028511663192
"171132",17.2416666666667,17.1224881104822
"171133",16.615,16.5733192016658
"171134",16.7433333333333,16.5110360168562
"171135",15.15,15.3652078401972
"171136",17.1683333333333,17.062581032331
"171137",13.5416666666667,13.6436192514568
"171138",15.2766666666667,15.2716427391538
"171139",11.4416666666667,11.494567008966
"171140",10.0816666666667,10.0903534455814
"171141",11.6483333333333,11.6843182467034
"171142",7.86,7.85859959428686
"171143",11.2933333333333,11.3256073658908
"171144",13.1166666666667,13.1346502725628
"171145",13.4966666666667,13.4767145281653
"171146",8.24,8.27460238671126
"171147",18.3583333333333,18.3502975327959
"171148",17.095,17.1914466004576
"171149",18.3583333333333,18.3368401556676
"171150",13.1266666666667,13.1664611653374
"171151",14.1816666666667,14.1889598302899
"171152",8.84833333333334,8.98097605503785
"171153",16.095,16.0652112430208
"171154",9.36499999999999,9.49941627067287
"171155",13.69,13.7646357668445
"171156",11.9483333333333,11.9637331052771
"171157",11.2433333333333,11.2251274732989
"171158",12.8866666666667,12.9210869004404
"171159",11.255,11.3198250547486
"171160",12.2883333333333,12.301331018358
"171161",6.87833333333333,6.87061788035814
"171162",16.54,16.5811227483144
"171163",17.6116666666667,17.616491961149
"171164",16.9666666666667,16.9640323717676
"171165",18.99,18.9798785999783
"171166",18.99,18.9666967084863
"171167",11.6833333333333,11.6717560024392
"171168",17.815,17.7973040115835
"171169",11.945,12.0389593616486
"171170",13.8083333333333,14.0350856476168
"171171",13.925,13.8439702853517
"171172",10.7816666666667,10.7477596711943
"171173",13.0983333333333,13.1239612672313
"171174",15.335,15.1968824266799
"171175",7.12166666666667,7.1151116136326
"171176",12.33,12.6665744683681
"171177",9.07333333333334,9.05021711108282
"171178",18.4383333333334,18.4182561559238
"171179",13.3066666666667,13.3497912689286
"171180",8.81333333333334,8.68196519828778
"171181",13.4966666666667,13.6645678932777
"171182",9.44500000000001,9.33702827574657
"171183",14.9966666666667,15.086880449214
"171184",18.4966666666667,18.5195567690732
"171185",18.1283333333333,18.120623104123
"171186",16.58,16.6068013200879
"171187",15.6133333333333,15.64403614511
"171188",18.99,18.9871573605755
"171189",18.7016666666667,18.7506531290835
"171190",18.99,18.9761766889056
"171191",16.1866666666667,16.2567498475633
"171192",15.4916666666667,15.4916687210949
"171193",17.5733333333333,17.4259490342587
"171194",17.8383333333333,17.8137340642019
"171195",9.95166666666667,10.2901368717522
"171196",16.2066666666667,16.2236075041246
"171197",9.06833333333332,8.90622642218387
"171198",18.7266666666667,18.6614848764659
"171199",12.2316666666667,12.2922987897078
"171200",15.575,15.5997054946711
"171201",10.4516666666667,10.449735992442
"171202",16.14,16.2038669855735
"171203",10.445,10.444356676761
"171204",17.385,17.38899754662
"171205",18,17.9724457677926
"171206",15.2,15.0746911913097
"171207",10.635,10.7339110095308
"171208",13.0633333333333,12.985836181223
"171209",16.48,16.4297073330364
"171210",18.99,18.9975239738661
"171211",17.1516666666667,17.0889844644158
"171212",18.5766666666667,18.5327086954974
"171213",14.7666666666667,14.8474918038807
"171214",15.5783333333333,15.6655668744179
"171215",17.0816666666667,17.0906381676195
"171216",18.7016666666667,18.6905008856261
"171217",19.085,19.1358163036389
"171218",17.1966666666667,17.2288633884943
"171219",15.8566666666667,15.744870004926
"171220",18.4283333333333,18.4833230873754
"171221",19.3816666666667,19.3555188305898
"171222",17.685,17.8991345559307
"171223",17.3083333333333,17.4162556720215
"171224",18.9366666666667,18.9680696083027
"171225",17.195,17.4599467497223
"171226",17.1633333333333,17.1142170735763
"171227",16.3533333333333,16.3928320616895
"171228",13.63,13.7256461743165
"171229",13.8983333333333,14.3739903848984
"171230",16.6983333333333,16.6802860563455
"171231",16.2066666666667,16.2075461242285
"171232",16.8733333333333,16.9099089614215
"171233",9.83000000000001,10.1706410835987
"171234",15.2916666666667,15.3801797776823
"171235",15.5283333333333,15.6538064451852
"171236",9.94,10.0223338821261
"171237",16.16,16.1959746705442
"171238",11.99,12.2950910553817
"171239",13.96,14.2341399030009
"171240",19.1183333333333,19.3900749684478
"171241",18.23,18.2340308738095
"171242",14.8983333333333,14.9080529424112
"171243",13.05,13.0625755184615
"171244",12.2316666666667,12.3773562782827
"171245",11.0966666666667,11.094711315117
"171246",13.0933333333333,13.1554652784614
"171247",12.0266666666667,12.234443949526
"171248",18.61,18.619314562181
